;;;;;;;309,47 €;;;;;;;;
Name;Price;Qt;;;Link;;Total;;;;;;;;
Motherboard Esp32;21,93 €;1;;;Aliexpress;;€ 21,93;;;;;;;;
Controller Esp32;21,93 €;1;;;Aliexpress;;€ 21,93;;;;;;;;
Servo Drivers;1,65;1;;;Aliexpress;;€ 1,65;;;;;;;;
Servo Motor;14,01 €;12;;;Aliexpress;;€ 168,12;;;;;;;;
Motherboard PCB;25,23 €;1;;;JLCPCB;;€ 25,23;;;;;;;;
Controller PCB;24,26 €;1;;;JLCPCB;;€ 24,26;;;;;;;;
Joystick + shipping;32,61 €;1;;;Sparkfun;;€ 32,61;;;;;;;;
Terminal blocks; 6,87 € ;2;;;Aliexpress;;€ 13,74;;;;;;;; 
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
